Species,Sector,Gear,Year,Discards (numbers),Discards (lbs.),Dead Discards (lbs.),DiscardMortality
RedSnapper,Recreational,Private recreational (East),1981,79298.11577,2749.617674,574.0383895,0.21
RedSnapper,Recreational,Private recreational (East),1982,14288.82643,533.0437292,112.0014061,0.21
RedSnapper,Recreational,Private recreational (East),1983,743.3576308,44.58419373,9.386146048,0.21
RedSnapper,Recreational,Private recreational (East),1984,37322.33221,1743.652761,377.0060024,0.22
RedSnapper,Recreational,Private recreational (East),1985,21520.01476,17090.02132,3589.119578,0.21
RedSnapper,Recreational,Private recreational (East),1986,26792.0683,19577.90817,4111.770446,0.21
RedSnapper,Recreational,Private recreational (East),1987,54860.14012,40216.2778,8441.714712,0.21
RedSnapper,Recreational,Private recreational (East),1988,68566.58236,49682.80361,10433.62499,0.21
RedSnapper,Recreational,Private recreational (East),1989,193147.3554,126365.7022,26536.09894,0.21
RedSnapper,Recreational,Private recreational (East),1990,573741.0467,390455.5613,81995.59121,0.21
RedSnapper,Recreational,Private recreational (East),1991,925092.7525,663940.0595,139426.9504,0.21
RedSnapper,Recreational,Private recreational (East),1992,1034725.976,768539.6289,161378.2308,0.21
RedSnapper,Recreational,Private recreational (East),1993,955626.7594,706494.9911,148349.2236,0.21
RedSnapper,Recreational,Private recreational (East),1994,656846.4365,566243.4032,118905.7099,0.21
RedSnapper,Recreational,Private recreational (East),1995,170804.1792,159017.2259,33393.21801,0.21
RedSnapper,Recreational,Private recreational (East),1996,551844.3291,527661.3403,110807.2767,0.21
RedSnapper,Recreational,Private recreational (East),1997,1491393.124,1464575.259,307563.6579,0.21
RedSnapper,Recreational,Private recreational (East),1998,584023.1115,714726.2927,150092.7585,0.21
RedSnapper,Recreational,Private recreational (East),1999,1080315.477,1185118.983,248867.1966,0.21
RedSnapper,Recreational,Private recreational (East),2000,1390797.826,2297424.037,482449.3081,0.21
RedSnapper,Recreational,Private recreational (East),2001,2120949.02,3592720.368,754472.3061,0.21
RedSnapper,Recreational,Private recreational (East),2002,2661414.341,3951857.413,829885.9704,0.21
RedSnapper,Recreational,Private recreational (East),2003,2265758.917,3356931.132,704952.9032,0.21
RedSnapper,Recreational,Private recreational (East),2004,2254798.245,2876823.752,604141.2507,0.21
RedSnapper,Recreational,Private recreational (East),2005,1525123.351,2170636.339,455840.6082,0.21
RedSnapper,Recreational,Private recreational (East),2006,1688494.3,2235463.402,469453.5066,0.21
RedSnapper,Recreational,Private recreational (East),2007,3049711.395,3941595.771,827762.4182,0.21
RedSnapper,Recreational,Private recreational (East),2008,1858319.654,3343234.971,394498.8836,0.12
RedSnapper,Recreational,Private recreational (East),2009,1690520.932,2973508.78,350866.3331,0.12
RedSnapper,Recreational,Private recreational (East),2010,1518660.981,3622386.858,427440.2246,0.12
RedSnapper,Recreational,Private recreational (East),2011,1733393.039,6079812.189,717419.5665,0.12
RedSnapper,Recreational,Private recreational (East),2012,1267009.753,5051059.961,596033.0197,0.12
RedSnapper,Recreational,Private recreational (East),2013,2185770.444,8323057.002,982111.8319,0.12
RedSnapper,Recreational,Private recreational (East),2014,1508180.607,7202570.921,849905.4399,0.12
RedSnapper,Recreational,Private recreational (East),2015,1296476.366,5870467.45,692715.9966,0.12
RedSnapper,Recreational,Private recreational (East),2016,2776896.467,10906273.6,1286940.2,0.12
RedSnapper,Recreational,Private recreational (West),1981,16246.02798,1801.530804,395.7367429,0.22
RedSnapper,Recreational,Private recreational (West),1982,5372.098721,628.0823522,138.0091267,0.22
RedSnapper,Recreational,Private recreational (West),1983,0,0,0,0.22
RedSnapper,Recreational,Private recreational (West),1984,0,0,0,0.22
RedSnapper,Recreational,Private recreational (West),1985,131689.8587,100429.1974,22094.72799,0.22
RedSnapper,Recreational,Private recreational (West),1986,0,0,0,0.22
RedSnapper,Recreational,Private recreational (West),1987,20767.33618,15369.72858,3381.326497,0.22
RedSnapper,Recreational,Private recreational (West),1988,272270.6066,205375.8277,45181.58552,0.22
RedSnapper,Recreational,Private recreational (West),1989,186803.4808,137326.5219,30213.20906,0.22
RedSnapper,Recreational,Private recreational (West),1990,106187.4823,74995.04356,16498.65651,0.22
RedSnapper,Recreational,Private recreational (West),1991,133261.4358,99034.59515,21787.41949,0.22
RedSnapper,Recreational,Private recreational (West),1992,181738.4252,135403.5832,29788.82066,0.22
RedSnapper,Recreational,Private recreational (West),1993,246148.6009,184054.7687,40492.27257,0.22
RedSnapper,Recreational,Private recreational (West),1994,326452.7533,282423.6329,62133.19924,0.22
RedSnapper,Recreational,Private recreational (West),1995,609197.0702,589638.5451,129719.3571,0.22
RedSnapper,Recreational,Private recreational (West),1996,106980.2642,103277.3101,22721.158,0.22
RedSnapper,Recreational,Private recreational (West),1997,162769.845,159818.3592,35159.99511,0.22
RedSnapper,Recreational,Private recreational (West),1998,217949.8083,232279.5822,51101.08614,0.22
RedSnapper,Recreational,Private recreational (West),1999,513784.6847,544086.6441,119700.3909,0.22
RedSnapper,Recreational,Private recreational (West),2000,265908.1391,404105.1098,88903.34469,0.22
RedSnapper,Recreational,Private recreational (West),2001,120783.6927,161745.9489,35583.57708,0.22
RedSnapper,Recreational,Private recreational (West),2002,100049.5757,138255.6199,30416.15557,0.22
RedSnapper,Recreational,Private recreational (West),2003,381285.424,497343.0532,109416.8229,0.22
RedSnapper,Recreational,Private recreational (West),2004,2138203.555,2644173.712,581716.8507,0.22
RedSnapper,Recreational,Private recreational (West),2005,1411518.153,1696025.829,373128.7132,0.22
RedSnapper,Recreational,Private recreational (West),2006,1536866.617,1801745.729,396380.6001,0.22
RedSnapper,Recreational,Private recreational (West),2007,1115869.827,1391916.592,306220.2918,0.22
RedSnapper,Recreational,Private recreational (West),2008,1182788.729,1940095.162,228931.923,0.12
RedSnapper,Recreational,Private recreational (West),2009,1295760.907,2109062.434,248867.6463,0.12
RedSnapper,Recreational,Private recreational (West),2010,21519.65826,45547.48082,5374.601189,0.12
RedSnapper,Recreational,Private recreational (West),2011,721776.8271,2229838.526,263124.5288,0.12
RedSnapper,Recreational,Private recreational (West),2012,1185034.596,3580933.25,422552.2028,0.12
